,price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,servant room,pooja room,furnishing_type,luxury
85,0.43,2.0,2.0,1,low floor,Relatively New,sector 4,flat,650.0,0,0,unfurnished,low
86,0.29,2.0,1.0,1,low floor,Relatively New,sector 2,flat,900.0,0,0,unfurnished,low
87,1.1,2.0,2.0,2,low floor,Relatively New,sector 37,flat,1118.0,0,0,unfurnished,semi_luxrious
88,2.0,2.0,2.0,2,high floor,Relatively New,sector 65,flat,1000.0,0,0,unfurnished,normal
89,0.9,3.0,2.0,2,low floor,Relatively New,sohna road,flat,896.0,0,0,unfurnished,luxrious
90,0.9,3.0,2.0,0,low floor,Relatively New,sohna road,flat,1119.96,0,0,unfurnished,semi_luxrious
91,1.75,3.0,3.0,0,low floor,New Property,sector 33,flat,1995.894,0,0,unfurnished,normal
92,0.93,2.0,2.0,2,high floor,New Property,sector 68,flat,1080.0,0,0,unfurnished,low
93,1.8,4.0,4.0,3+,high floor,Moderately Old,sector 90,flat,2181.6,0,0,unfurnished,semi_luxrious
94,2.1,3.0,3.0,2,mid floor,Under Construction,sector 33,flat,1431.2,0,0,unfurnished,low
95,2.0,2.0,2.0,2,mid floor,Relatively New,sector 22,flat,1380.0,0,0,unfurnished,normal
96,2.0,3.0,3.0,2,low floor,Relatively New,sector 63,flat,1562.5,0,0,unfurnished,normal
97,1.29,3.0,3.0,3,mid floor,New Property,sector 88,flat,1629.0,0,0,unfurnished,semi_luxrious
98,2.85,3.0,3.0,3,high floor,Relatively New,sector 65,flat,1462.4,0,0,semifurnished,luxrious
99,1.1,3.0,3.0,3,low floor,Relatively New,sector 79,flat,1950.0,0,0,semifurnished,semi_luxrious
100,1.65,2.0,2.0,2,low floor,Under Construction,sector 61,flat,1200.0,0,0,unfurnished,low
101,0.24,1.0,1.0,2,low floor,New Property,sohna road,flat,324.0,0,0,unfurnished,semi_luxrious
102,2.1,3.0,4.0,3+,high floor,New Property,sector 77,flat,1500.0,1,0,semifurnished,luxrious
103,1.9,3.0,3.0,3+,high floor,New Property,sector 33,flat,1929.0,1,0,unfurnished,semi_luxrious
104,0.32,2.0,2.0,1,mid floor,Relatively New,sector 95,flat,443.365041,0,0,furnished,low
105,1.7,1.0,1.0,2,mid floor,Relatively New,sector 109,flat,628.0,0,0,unfurnished,low
106,0.32,2.0,2.0,2,low floor,New Property,sector 99,flat,524.0,0,0,unfurnished,normal
107,0.45,2.0,2.0,1,low floor,Relatively New,sector 86,flat,581.3582389999999,0,0,unfurnished,semi_luxrious
108,1.2,1.0,2.0,2,high floor,Under Construction,sector 78,flat,505.0,0,0,unfurnished,normal
109,2.1,2.0,2.0,2,high floor,New Property,sector 65,flat,1048.0,0,0,unfurnished,luxrious
110,0.42,2.0,2.0,1,low floor,Relatively New,sector 4,flat,750.0,0,0,semifurnished,low
111,1.55,3.0,2.0,3+,mid floor,New Property,sector 33,flat,1557.0,0,0,unfurnished,normal
112,1.3,3.0,3.0,2,low floor,Under Construction,dwarka expressway,flat,1152.0,0,0,unfurnished,low
113,2.75,4.0,4.0,3+,high floor,New Property,sector 113,flat,2597.0,1,1,furnished,normal
114,1.25,3.0,3.0,3+,low floor,New Property,sector 103,flat,1056.0,0,1,unfurnished,semi_luxrious
115,0.42,3.0,2.0,2,low floor,Relatively New,sector 63,flat,567.0,0,0,unfurnished,low
116,0.4,2.0,2.0,1,low floor,New Property,sohna road,flat,623.0,0,0,unfurnished,normal
117,0.34,2.0,2.0,1,groundfloor,New Property,sohna road,flat,629.0,0,0,unfurnished,low
118,1.25,3.0,3.0,3,low floor,New Property,sector 89,flat,1138.4,0,0,unfurnished,semi_luxrious
119,1.5,3.0,3.0,3,low floor,Relatively New,sector 77,flat,1177.0,0,0,semifurnished,semi_luxrious
120,1.3,3.0,3.0,2,low floor,Under Construction,dwarka expressway,flat,1120.0,0,0,unfurnished,low
121,1.6,3.0,3.0,3,mid floor,Under Construction,sector 99,flat,1600.0,0,0,unfurnished,low
122,1.5,2.0,2.0,2,high floor,New Property,sector 113,flat,1276.0,0,0,unfurnished,semi_luxrious
123,1.5,2.0,2.0,2,high floor,New Property,sector 113,flat,1020.8,0,0,unfurnished,semi_luxrious
124,0.9,2.0,2.0,0,high floor,Relatively New,sector 104,flat,1258.917,0,0,unfurnished,low
125,1.5,4.0,4.0,3,low floor,Old Property,sector 52,flat,1312.0,0,0,unfurnished,semi_luxrious
126,0.8,1.0,1.0,0,groundfloor,Relatively New,sector 67,flat,609.989,0,0,unfurnished,low
127,1.25,3.0,2.0,1,high floor,New Property,sector 86,flat,1352.0,0,0,unfurnished,normal
128,0.26,2.0,2.0,1,low floor,Relatively New,sohna road,flat,481.792164,0,0,unfurnished,normal
129,0.42,2.0,2.0,1,high floor,New Property,sohna road,flat,531.0,0,0,unfurnished,normal
130,2.5,3.0,3.0,2,low floor,New Property,sector 43,flat,1548.0,0,0,unfurnished,low
131,0.9,3.0,3.0,2,low floor,Moderately Old,sector 78,flat,1950.0,1,1,unfurnished,semi_luxrious
132,0.42,2.0,2.0,1,low floor,Relatively New,sector 92,flat,591.0,0,1,semifurnished,normal
133,0.5,2.0,2.0,1,high floor,Relatively New,sector 107,flat,436.8,0,0,unfurnished,normal
134,0.9,2.0,2.0,3,mid floor,Relatively New,sector 79,flat,1400.0,0,0,unfurnished,normal
135,1.3,3.0,3.0,3+,low floor,New Property,sector 89,flat,1910.0,1,0,unfurnished,normal
136,1.7,3.0,3.0,3,high floor,Under Construction,sector 33,flat,1431.2,0,0,unfurnished,low
137,1.25,4.0,3.0,0,high floor,Relatively New,sector 92,flat,2016.129,0,0,unfurnished,normal
138,2.91,4.0,4.0,3,mid floor,Under Construction,sector 82,flat,3480.0,1,0,semifurnished,semi_luxrious
139,1.15,3.0,4.0,2,low floor,Old Property,sector 12,flat,1750.0,1,0,semifurnished,low
140,1.2,3.0,3.0,3,low floor,New Property,sector 89,flat,958.0,0,1,unfurnished,luxrious
141,1.5,2.0,2.0,3,high floor,New Property,sohna road,flat,1225.0,0,0,unfurnished,normal
142,1.3,3.0,3.0,3+,mid floor,Relatively New,sohna road,flat,1290.0,0,0,unfurnished,normal
143,1.75,3.0,3.0,3,low floor,Relatively New,sector 104,flat,1351.2,0,0,unfurnished,normal
144,0.55,2.0,2.0,1,low floor,Relatively New,sector 3,flat,700.0,0,0,semifurnished,semi_luxrious
145,2.5,3.0,3.0,3,high floor,Relatively New,sector 65,flat,1462.4,0,0,unfurnished,normal
146,0.43,2.0,2.0,1,low floor,Moderately Old,rajiv colony,flat,648.0,0,0,unfurnished,low
147,0.8,3.0,2.0,3,mid floor,Moderately Old,sector 2,flat,1080.0,0,0,unfurnished,low
148,0.45,3.0,3.0,2,high floor,Relatively New,Garauli Kalan,flat,800.0,0,0,unfurnished,low
149,0.7,2.0,2.0,1,mid floor,Moderately Old,sector 108,flat,1150.0,0,0,unfurnished,low
150,1.95,4.0,3.0,3,mid floor,Relatively New,sector 37,flat,1350.0,0,0,unfurnished,normal
151,0.45,2.0,2.0,1,low floor,New Property,sector 90,flat,626.0,0,0,semifurnished,normal
152,1.7,3.0,2.0,3,mid floor,Relatively New,sector 79,flat,1099.0,0,0,unfurnished,low
153,1.1,3.0,2.0,3,mid floor,Old Property,sector 9,flat,1800.0,0,0,unfurnished,normal
154,0.5,2.0,2.0,1,mid floor,Relatively New,sector 86,flat,520.0,0,0,unfurnished,low
155,2.8,3.0,3.0,3,high floor,Relatively New,sector 65,flat,1462.4,0,0,unfurnished,semi_luxrious
156,1.45,3.0,2.0,3+,high floor,Under Construction,sector 33,flat,86.0,0,0,unfurnished,luxrious
157,2.2,3.0,3.0,2,low floor,New Property,sector 61,flat,1630.0,0,0,unfurnished,low
158,0.9,2.0,2.0,2,high floor,Relatively New,sohna road,flat,951.0,0,0,furnished,luxrious
159,0.4,2.0,2.0,2,low floor,New Property,sector 95,flat,514.0,0,0,semifurnished,normal
160,1.35,3.0,3.0,3+,mid floor,New Property,sector 77,flat,1199.0,0,0,semifurnished,semi_luxrious
161,1.85,4.0,4.0,0,low floor,Relatively New,sector 67,flat,2300.0,0,0,unfurnished,low
162,0.25,1.0,1.0,1,low floor,New Property,sector 95,flat,304.0,0,0,unfurnished,low
163,0.88,2.0,2.0,3,low floor,New Property,sector 89,flat,1105.0,0,0,unfurnished,normal
164,1.15,2.0,2.0,2,low floor,New Property,sector 99,flat,1092.0,0,0,semifurnished,semi_luxrious
165,1.6,3.0,3.0,3,low floor,Moderately Old,iffco chowk,flat,1050.4,0,0,unfurnished,normal
166,0.85,2.0,2.0,2,low floor,New Property,sector 99,flat,1001.6,0,0,unfurnished,normal
167,0.75,2.0,2.0,2,low floor,Relatively New,sector 82,flat,650.0,0,0,unfurnished,low
168,3.35,4.0,4.0,3+,low floor,New Property,sector 2,flat,4500.0,0,0,unfurnished,semi_luxrious
169,1.5,3.0,3.0,3+,high floor,New Property,sector 88,flat,1480.0,0,0,unfurnished,normal
170,1.65,4.0,4.0,3+,high floor,Moderately Old,sector 91,flat,1891.2,1,0,unfurnished,semi_luxrious
171,2.0,4.0,4.0,3+,high floor,Moderately Old,sector 91,flat,2181.6,1,1,unfurnished,semi_luxrious
172,1.75,4.0,4.0,3,mid floor,New Property,sector 1,flat,2800.0,1,0,unfurnished,low
173,0.9,2.0,2.0,2,low floor,New Property,sector 68,flat,1180.0,0,0,unfurnished,normal
174,1.25,3.0,3.0,3,high floor,Under Construction,sector 70,flat,1492.0,0,0,unfurnished,normal
175,1.0,3.0,3.0,3+,mid floor,Relatively New,sector 37,flat,1537.0,0,0,semifurnished,normal
176,2.15,3.0,5.0,3,low floor,New Property,sector 85,flat,1926.4,0,0,unfurnished,normal
177,1.0,1.0,1.0,1,high floor,Relatively New,sector 67,flat,826.037,0,0,unfurnished,normal
178,1.65,2.0,2.0,3,high floor,New Property,sector 70,flat,1009.6,0,0,unfurnished,semi_luxrious
179,1.79,4.0,3.0,3+,mid floor,Moderately Old,sector 90,flat,2215.0,0,0,unfurnished,semi_luxrious
180,1.8,3.0,3.0,3,high floor,Under Construction,sector 85,flat,127.3,0,0,unfurnished,normal
181,1.45,3.0,3.0,3,low floor,Under Construction,sector 2,flat,760.0,0,0,unfurnished,normal
182,0.22,1.0,1.0,1,low floor,Relatively New,sector 21,flat,465.0,0,0,unfurnished,low
183,0.36,2.0,2.0,1,groundfloor,Relatively New,sector 7,flat,700.117,0,0,unfurnished,low
184,0.25,2.0,2.0,1,groundfloor,Relatively New,sohna road,flat,587.13,0,0,unfurnished,normal
185,1.15,3.0,3.0,3+,low floor,Relatively New,sector 79,flat,1103.0,0,0,unfurnished,normal
186,1.65,3.0,3.0,0,low floor,Relatively New,sohna road,flat,946.0,0,0,unfurnished,semi_luxrious
187,2.9,4.0,4.0,3+,high floor,New Property,sector 113,flat,2298.0,1,0,unfurnished,normal
188,0.6,2.0,2.0,3,high floor,Under Construction,sector 92,flat,1056.0,0,0,unfurnished,low
189,2.4,3.0,3.0,0,groundfloor,Moderately Old,sector 47,flat,2400.0,0,0,semifurnished,low
190,1.25,2.0,2.0,3,high floor,Relatively New,sector 70,flat,1262.0,0,0,unfurnished,low
191,2.15,2.0,2.0,3+,high floor,Relatively New,sector 65,flat,1433.047,0,0,unfurnished,normal
192,0.29,2.0,2.0,1,low floor,Relatively New,sohna road,flat,519.0,0,0,unfurnished,low
193,0.38,2.0,2.0,2,mid floor,Relatively New,sohna road,flat,650.0,0,0,unfurnished,low
194,1.5,2.0,2.0,3,mid floor,Relatively New,golf course road,flat,1100.0,0,0,unfurnished,low
195,0.39,2.0,2.0,1,low floor,Relatively New,sector 4,flat,750.0,0,0,unfurnished,low
196,1.6,3.0,4.0,0,high floor,New Property,sector 99,flat,2399.88,0,0,unfurnished,normal
197,1.7,4.0,4.0,3,low floor,New Property,sector 68,flat,1599.2,0,0,unfurnished,normal
198,3.25,3.0,3.0,3+,groundfloor,Old Property,sector 54,flat,2302.0,0,1,semifurnished,luxrious
199,0.6,2.0,2.0,3,mid floor,New Property,sector 111,flat,710.0,0,0,unfurnished,normal
200,0.27,2.0,2.0,0,low floor,New Property,sector 95,flat,550.0,0,0,unfurnished,low
201,0.95,2.0,1.0,1,low floor,Old Property,sector 28,flat,1069.0,0,0,unfurnished,semi_luxrious
202,2.65,2.0,2.0,3,low floor,New Property,sector 65,flat,1146.4,0,0,unfurnished,normal
203,0.36,2.0,2.0,1,low floor,New Property,sector 79,flat,471.0,0,0,unfurnished,semi_luxrious
204,0.55,2.0,2.0,3,low floor,New Property,sector 37,flat,480.0,0,0,unfurnished,normal
205,1.32,3.0,3.0,3,low floor,New Property,sector 89,flat,780.0,0,0,unfurnished,normal
206,0.59,2.0,2.0,3,low floor,New Property,sector 99,flat,1001.7315896,0,0,unfurnished,semi_luxrious
207,0.45,2.0,2.0,1,groundfloor,Relatively New,sector 4,flat,850.0,0,0,unfurnished,normal
208,0.9,3.0,3.0,2,high floor,Relatively New,sector 37,flat,975.0,0,0,furnished,normal
209,1.4,2.0,2.0,2,low floor,Relatively New,sector 79,flat,1400.0,1,0,furnished,semi_luxrious
210,0.95,2.0,2.0,3+,mid floor,New Property,sohna road,flat,849.0,0,0,semifurnished,normal
211,3.0,3.0,3.0,3,high floor,Under Construction,sector 65,flat,1462.4,0,0,unfurnished,semi_luxrious
212,3.67,3.0,3.0,2,high floor,Relatively New,sector 65,flat,1632.0,1,0,unfurnished,normal
213,3.85,5.0,6.0,3+,mid floor,New Property,sector 82,flat,5140.0,1,1,unfurnished,luxrious
214,3.29,3.0,3.0,3,high floor,New Property,sector 65,flat,1462.4,0,0,unfurnished,normal
215,2.33,2.0,2.0,3,high floor,Under Construction,sector 65,flat,1008.8,0,0,semifurnished,normal
216,2.79,3.0,3.0,3,high floor,New Property,sector 65,flat,1462.4,0,0,unfurnished,low
217,3.4,4.0,4.0,3,groundfloor,Old Property,sector 41,flat,2900.034,0,0,unfurnished,low
218,0.72,2.0,2.0,1,low floor,Relatively New,sector 12,flat,990.0,0,0,semifurnished,low
219,0.4,2.0,2.0,1,low floor,Relatively New,sector 104,flat,454.7532472,0,0,unfurnished,normal
220,0.56,2.0,2.0,2,mid floor,Relatively New,sector 95,flat,1091.2,0,0,semifurnished,semi_luxrious
221,1.1,3.0,3.0,3,high floor,Relatively New,sector 71,flat,1296.0,0,0,unfurnished,semi_luxrious
222,0.71,2.0,2.0,3,mid floor,New Property,sector 37,flat,1000.0,0,0,unfurnished,normal
223,0.78,2.0,2.0,3+,groundfloor,New Property,sector 79,flat,1036.0,0,0,unfurnished,semi_luxrious
224,0.4,2.0,2.0,3,low floor,Under Construction,sector 37,flat,680.0,0,0,unfurnished,luxrious
225,1.85,3.0,2.0,2,mid floor,New Property,sector 113,flat,1263.2,0,0,unfurnished,low
226,1.1,2.0,2.0,1,mid floor,Relatively New,sector 102,flat,722.4000000000001,0,0,unfurnished,semi_luxrious
227,1.41,2.0,2.0,2,low floor,New Property,sector 61,flat,1151.02,0,0,unfurnished,semi_luxrious
228,1.45,3.0,3.0,3,low floor,Relatively New,sector 79,flat,1945.0,0,0,unfurnished,low
229,2.2,3.0,3.0,2,low floor,New Property,sector 61,flat,1600.0,0,0,unfurnished,normal
230,1.1,2.0,2.0,3,mid floor,Moderately Old,sector 33,flat,1000.0,0,0,semifurnished,normal
231,2.05,3.0,4.0,3+,high floor,Relatively New,sector 102,flat,2025.0,1,0,unfurnished,luxrious
232,0.6,3.0,2.0,3,low floor,Moderately Old,sector 92,flat,1200.0,0,0,semifurnished,normal
233,0.8,2.0,3.0,3,mid floor,Under Construction,sector 89,flat,1328.0,0,0,unfurnished,semi_luxrious
234,0.41,2.0,2.0,2,mid floor,New Property,sector 84,flat,483.0,0,0,semifurnished,low
235,0.9,3.0,3.0,3,low floor,Under Construction,sector 73,flat,1622.206,1,0,unfurnished,semi_luxrious
236,0.54,2.0,2.0,1,low floor,Relatively New,sector 7,flat,900.0,0,0,unfurnished,semi_luxrious
237,0.82,3.0,2.0,2,low floor,New Property,sector 36,flat,650.0,0,0,unfurnished,low
238,1.0,3.0,3.0,3+,low floor,Relatively New,sector 71,flat,1188.0,0,0,semifurnished,low
239,1.85,3.0,4.0,3,mid floor,Old Property,sector 56,flat,2050.0,1,0,unfurnished,semi_luxrious
240,1.42,3.0,3.0,2,low floor,Relatively New,sector 83,flat,1775.0,0,0,semifurnished,luxrious
241,0.55,2.0,2.0,3,low floor,New Property,sector 37,flat,600.0,0,0,unfurnished,semi_luxrious
242,2.29,2.0,2.0,3,mid floor,Under Construction,sector 65,flat,1433.0,0,0,unfurnished,low
243,0.97,2.0,2.0,2,high floor,New Property,sector 102,flat,600.0,0,0,unfurnished,normal
244,8.25,3.0,4.0,3,mid floor,Relatively New,sector 53,flat,2352.0,1,0,furnished,normal
245,0.3,2.0,2.0,1,low floor,Relatively New,sector 3,flat,675.0,0,0,unfurnished,low
246,1.65,2.0,2.0,3,low floor,Under Construction,sector 33,flat,1151.0,0,0,unfurnished,normal
247,1.99,2.0,2.0,2,high floor,Relatively New,sector 65,flat,1008.0,0,0,unfurnished,normal
248,1.0,2.0,2.0,3,high floor,Relatively New,sector 68,flat,800.0,0,0,unfurnished,normal
249,4.25,3.0,3.0,3,mid floor,Under Construction,sector 62,flat,1600.0,0,0,unfurnished,low
250,1.25,4.0,4.0,3,low floor,Relatively New,sector 78,flat,2000.0,1,1,unfurnished,normal
251,0.95,3.0,3.0,3,low floor,Moderately Old,sector 83,flat,1340.0,0,0,unfurnished,low
252,1.05,3.0,2.0,2,low floor,New Property,sector 4,flat,1350.0,0,0,semifurnished,low
253,4.1,4.0,5.0,3+,high floor,New Property,sector 72,flat,2324.0,1,0,unfurnished,semi_luxrious
254,0.5,2.0,2.0,2,low floor,Relatively New,sector 90,flat,716.0,0,0,unfurnished,low
255,1.65,4.0,3.0,3,mid floor,New Property,sector 1,flat,2800.0,1,0,unfurnished,low
256,1.6,3.0,3.0,3,low floor,New Property,sector 70,flat,1575.0,1,0,unfurnished,semi_luxrious
257,2.1,3.0,2.0,3,low floor,New Property,sector 61,flat,1549.0,0,0,unfurnished,luxrious
258,0.9,4.0,4.0,3,mid floor,Moderately Old,sector 1,flat,1973.6,0,0,unfurnished,low
259,1.1,2.0,2.0,3+,low floor,New Property,sector 79,flat,1080.8,0,0,semifurnished,normal
260,0.92,2.0,2.0,3+,high floor,Under Construction,sector 99,flat,1092.0,0,0,unfurnished,normal
261,0.7,3.0,3.0,2,high floor,Under Construction,sector 92,flat,1259.899,0,0,unfurnished,normal
