society,price,price_persqft,bedRoom,bathroom,balcony,floorNum,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
ild greens,0.78,5714.0,2.0,2.0,3,1.0,Moderately Old,sector 37c,flat,900.0,0,0,0,0,0,0,103
ansal sushant lok ci,2.0,15151.0,3.0,3.0,2,1.0,Old Property,sector 43,flat,1320.0,0,1,0,0,0,1,15
ashiana mulberry,0.74,6200.0,2.0,2.0,3+,12.0,New Property,sohna road,flat,1210.0,0,0,0,0,0,2,67
godrej meridien,3.2,16000.0,3.0,3.0,3+,6.0,Relatively New,sector 106,flat,2002.0,0,1,0,0,0,2,49
mapsko casa bella,1.3,6378.0,4.0,4.0,3+,1.0,Relatively New,sector 82,flat,1568.0,0,1,0,0,0,2,130
pooja apartment,0.25,3571.0,2.0,2.0,2,2.0,Relatively New,sector 3 extension,flat,700.0,0,0,0,0,0,2,0
signature global park,0.95,7846.0,3.0,2.0,3+,1.0,Relatively New,sohna road,flat,756.5945310000001,0,0,0,0,0,2,46
dlf new town heights,1.99,7297.0,4.0,4.0,3+,9.0,Relatively New,sector 90,flat,2727.0,0,1,0,1,0,0,102
paras dews,1.05,7581.0,2.0,2.0,2,5.0,New Property,sector 106,flat,1385.0,0,0,0,0,0,2,97
godrej air,1.83,10005.0,3.0,3.0,3+,18.0,Relatively New,sector 85,flat,1829.0,0,0,0,0,0,2,110
dlf the primus,2.25,10714.0,3.0,3.0,3+,29.0,Relatively New,sector 82a,flat,2100.0,0,1,0,0,0,1,72
emaar mgf emerald floors premier,2.8,16969.0,3.0,3.0,3+,3.0,Relatively New,sector 65,flat,1650.0,1,1,0,0,0,0,38
dlf regency park,1.6,14545.0,2.0,2.0,2,3.0,Relatively New,sector 28,flat,1100.0,0,0,0,0,0,2,52
supertech araville,0.83,5424.0,2.0,2.0,3,5.0,New Property,sector 79,flat,1530.0,1,0,0,0,0,1,49
signature global park,0.83,7410.0,3.0,2.0,2,1.0,New Property,sohna road,flat,1120.0,0,0,0,0,0,2,16
maxworth city residences,0.8,6400.0,2.0,3.0,2,9.0,New Property,sector 10a,flat,1250.0,0,0,0,0,0,2,46
deepak minda,1.25,4715.0,4.0,4.0,3+,6.0,Moderately Old,sector 1,flat,2651.0,0,0,0,0,0,0,44
shree shyam residency,0.23,5000.0,1.0,1.0,1,2.0,Relatively New,sector 21b,flat,460.0,0,0,0,0,0,2,9
pivotal devaan,0.3,6666.0,1.0,1.0,1,14.0,New Property,sector 84,flat,450.0,0,0,0,0,0,0,22
unitech the residences,1.55,9872.0,3.0,4.0,1,1.0,Relatively New,sector 33,flat,1256.0,0,1,0,0,0,2,37
chd avenue,0.79,6594.0,2.0,2.0,2,8.0,Relatively New,sector 71,flat,958.4000000000001,0,0,0,0,1,2,0
"gokuldham society, bahadurgarh",0.5,5555.0,2.0,2.0,2,2.0,Moderately Old,sector 7,flat,750.0,0,0,1,0,0,2,0
silverglades the melia,1.01,7000.0,2.0,2.0,3,12.0,Relatively New,sohna road,flat,950.0,1,0,0,0,0,2,80
sare crescent parc royal greens phase 1,0.95,5007.0,4.0,5.0,3+,4.0,Moderately Old,sector 92,flat,1517.6000000000001,0,1,0,0,0,2,37
umang winter hills,0.99,7857.0,2.0,2.0,2,1.0,Relatively New,sector 77,flat,1000.0,0,0,0,0,0,2,97
ramprastha skyz,1.1,6376.0,3.0,3.0,3+,7.0,Relatively New,sector 37d,flat,1380.0,0,0,0,0,0,2,109
4s aradhya homes,1.9,8863.0,4.0,4.0,3,3.0,New Property,sector 67a,flat,1760.0,0,0,0,0,0,0,62
ild greens,1.0,4320.0,3.0,3.0,3+,5.0,Under Construction,sector 37c,flat,1500.0,0,0,0,0,0,2,51
bptp freedom park life,2.5,11111.0,3.0,3.0,3,9.0,Moderately Old,sector 57,flat,1800.0,0,0,0,0,0,2,55
godrej habitat,1.1,10410.0,2.0,2.0,2,14.0,Under Construction,sector 3,flat,845.2675392,0,0,0,0,0,2,60
ramsons kshitij,0.29,5178.0,2.0,2.0,2,14.0,Relatively New,sector 95,flat,448.0,0,0,0,0,0,2,50
sidhartha ncr one,0.55,5556.0,2.0,2.0,3,15.0,New Property,sector 95,flat,950.0,0,0,0,0,0,2,0
raheja sampada,0.65,4744.0,3.0,2.0,3,6.0,Relatively New,sector 92,flat,1096.0,0,0,0,0,0,2,49
signature the serenas,0.5,9406.0,2.0,2.0,2,6.0,New Property,sohna road,flat,531.521382,0,0,0,0,0,2,37
pareena laxmi apartments,0.32,5521.0,2.0,2.0,1,2.0,New Property,sector 99a,flat,575.0,0,0,0,0,0,2,43
satya the hermitage,0.93,6404.0,2.0,3.0,3,3.0,Relatively New,sector 103,flat,1452.0,0,1,0,0,0,0,90
smart world gems,1.2,8432.0,3.0,3.0,2,2.0,New Property,sector 89,flat,1423.0,0,0,0,0,0,2,44
gls arawali homes,0.3,4687.0,2.0,2.0,2,4.0,Relatively New,sohna road,flat,640.0,0,0,0,0,0,2,42
signature global park,0.56,6812.0,2.0,2.0,3,3.0,New Property,sohna road,flat,822.0,0,0,0,0,0,2,111
bestech park view city,2.7,12505.0,3.0,4.0,3+,6.0,Moderately Old,sector 49,flat,1727.2,0,0,0,0,0,2,0
shree vardhman flora,1.0,5128.0,3.0,4.0,3,8.0,New Property,sector 90,flat,1560.0,0,1,0,0,0,2,95
afnhb jalvayu vihar,1.45,11153.0,3.0,2.0,2,2.0,Old Property,sector 30,flat,1090.0,0,0,0,0,0,1,75
m3m soulitude,1.25,8784.0,3.0,3.0,0,4.0,New Property,sector 89,flat,1190.0,0,0,0,0,0,2,61
emaar mgf palm terraces,4.5,10599.0,5.0,5.0,3+,11.0,New Property,sector 66,flat,2936.0,0,1,0,0,0,2,105
anamika enclave,0.64,6500.0,2.0,2.0,1,1.0,New Property,sector 15 part 1,flat,800.0,0,0,0,0,0,2,0
hcbs sports ville,0.28,3768.0,2.0,2.0,1,11.0,Relatively New,sohna road,flat,643.0,0,0,0,0,0,2,38
puri the aravallis,3.87,17200.0,3.0,4.0,3+,21.0,New Property,sector 61,flat,1249.68879,0,1,0,0,0,2,58
brisk lumbini terrace homes,1.38,6338.0,3.0,3.0,1,4.0,Moderately Old,sector 109,flat,2177.0,0,0,0,0,0,2,20
huda ashok vihar phase,0.43,6615.0,2.0,2.0,1,2.0,Relatively New,sector 4,flat,650.0,0,0,0,0,0,2,7
my home,0.29,3166.0,2.0,1.0,1,2.0,Relatively New,new sector 2,flat,900.0,0,0,0,0,1,2,15
signature global city,1.1,9838.0,2.0,2.0,2,4.0,Relatively New,sector 37d,flat,1118.0,0,0,0,0,0,2,59
m3m heights,2.0,13957.0,2.0,2.0,2,32.0,Relatively New,sector 65,flat,1000.0,0,0,0,0,0,2,48
signature global park,0.9,8035.0,3.0,2.0,2,2.0,Relatively New,sohna road,flat,896.0,0,0,0,0,0,2,144
signature global park,0.9,8036.0,3.0,2.0,0,2.0,Relatively New,sohna road,flat,1119.96,0,0,0,0,0,2,58
godrej nature plus,1.75,8768.0,3.0,3.0,0,2.0,New Property,sector 33,flat,1995.894,0,0,0,0,0,2,56
supertech hues,0.93,8611.0,2.0,2.0,2,11.0,New Property,sector 68,flat,1080.0,0,0,0,0,0,2,0
dlf new town heights,1.8,6600.0,4.0,4.0,3+,23.0,Moderately Old,sector 90,flat,2181.6,0,0,0,0,0,2,67
central park flower valley aqua front towers,2.1,11738.0,3.0,3.0,2,6.0,Under Construction,sector 33,flat,1431.2,0,0,0,0,0,2,24
ambience creacions,2.0,14492.0,2.0,2.0,2,9.0,Relatively New,sector 22,flat,1380.0,0,0,0,0,0,2,49
signature global city 63a,2.0,12800.0,3.0,3.0,2,1.0,Relatively New,sector 63a,flat,1562.5,0,0,0,0,0,2,36
godrej oasis,1.29,7800.0,3.0,3.0,3,5.0,New Property,sector 88a,flat,1629.0,1,0,0,0,1,2,65
m3m skycity,2.85,15590.0,3.0,3.0,3,43.0,Relatively New,sector 65,flat,1462.4,0,0,0,0,0,0,115
supertech araville,1.1,5641.0,3.0,3.0,3,1.0,Relatively New,sector 79,flat,1950.0,0,0,0,0,0,0,106
smart world orchard,1.65,13750.0,2.0,2.0,2,1.0,Under Construction,sector 61,flat,1200.0,1,0,0,0,0,2,16
hcbs sports ville,0.24,7407.0,1.0,1.0,2,1.0,New Property,sohna road,flat,324.0,0,0,0,0,0,2,68
emaar palm premier,2.1,10500.0,3.0,4.0,3+,11.0,New Property,sector 77,flat,1500.0,0,1,0,0,0,0,129
godrej nature plus,1.9,9849.0,3.0,3.0,3+,14.0,New Property,sector 33,flat,1929.0,0,1,0,0,0,2,96
ramsons kshitij,0.32,4500.0,2.0,2.0,1,8.0,Relatively New,sector 95,flat,443.365041,0,0,0,0,1,1,28
conscient one,1.7,17617.0,1.0,1.0,2,9.0,Relatively New,sector 109,flat,628.0,0,0,0,0,0,2,0
pareena laxmi apartments,0.32,6106.0,2.0,2.0,2,2.0,New Property,sector 99a,flat,524.0,0,0,0,0,0,2,50
pyramid elite,0.45,7739.0,2.0,2.0,1,4.0,Relatively New,sector 86,flat,581.3582389999999,0,0,0,0,0,2,66
raheja revanta,1.2,10018.0,1.0,2.0,2,32.0,Under Construction,sector 78,flat,505.0,0,0,0,0,0,2,39
m3m skycity,2.1,16030.0,2.0,2.0,2,43.0,New Property,sector 65,flat,1048.0,0,0,0,0,0,2,127
not applicable,0.42,5600.0,2.0,2.0,1,3.0,Relatively New,sector 4,flat,750.0,0,0,0,0,0,0,26
godrej nature plus,1.55,9955.0,3.0,2.0,3+,8.0,New Property,sector 33,flat,1557.0,0,0,0,0,0,2,43
ramprastha city,1.3,9027.0,3.0,3.0,2,3.0,Under Construction,dwarka expressway,flat,1152.0,0,0,0,0,0,2,0
smartworld 1dxp,2.75,10589.0,4.0,4.0,3+,20.0,New Property,sector 113,flat,2597.0,1,1,0,1,0,1,57
ansal housing highland park,1.25,6443.0,3.0,3.0,3+,2.0,New Property,sector 103,flat,1056.0,0,0,0,1,0,2,105
czar mahira homes 63a,0.42,7407.0,3.0,2.0,2,1.0,Relatively New,sector 63a,flat,567.0,0,0,0,0,0,2,0
breez global heights,0.4,6420.0,2.0,2.0,1,4.0,New Property,sohna road,flat,623.0,0,0,0,0,0,2,49
trisara our homes 3,0.34,5405.0,2.0,2.0,1,0.0,New Property,sohna road,flat,629.0,0,0,0,0,0,2,0
m3m soulitude,1.25,8784.0,3.0,3.0,3,3.0,New Property,sector 89,flat,1138.4,1,0,0,0,1,2,61
emaar mgf palm hills,1.5,12744.0,3.0,3.0,3,4.0,Relatively New,sector 77,flat,1177.0,0,0,0,0,0,0,97
ramprastha city,1.3,9285.0,3.0,3.0,2,3.0,Under Construction,dwarka expressway,flat,1120.0,0,0,0,0,0,2,0
pareena coban residences,1.6,8000.0,3.0,3.0,3,6.0,Under Construction,sector 99a,flat,1600.0,0,0,0,0,0,2,0
la vida by tata housing,1.5,11755.0,2.0,2.0,2,13.0,New Property,sector 113,flat,1276.0,0,0,0,0,0,2,71
la vida by tata housing,1.5,11755.0,2.0,2.0,2,13.0,New Property,sector 113,flat,1020.8000000000001,0,0,0,0,0,2,60
godrej summit premia towers,0.9,7149.0,2.0,2.0,0,16.0,Relatively New,sector 104,flat,1258.917,0,0,0,0,0,2,0
ardee city,1.5,9146.0,4.0,4.0,3,3.0,Old Property,sector 52,flat,1312.0,0,0,0,0,0,2,65
m3m one key resiments,0.8,13115.0,1.0,1.0,0,0.0,Relatively New,sector 67,flat,609.989,0,0,0,0,0,2,0
ansal heights 86,1.25,7396.0,3.0,2.0,1,11.0,New Property,sector 86,flat,1352.0,0,0,0,0,0,2,45
mvn athens,0.26,5397.0,2.0,2.0,1,2.0,Relatively New,sohna road,flat,481.792164,0,0,0,0,0,2,37
signature the serenas,0.42,7909.0,2.0,2.0,1,12.0,New Property,sohna road,flat,531.0,0,0,0,0,0,2,54
sushant lok 1 builder floors,2.5,12920.0,3.0,3.0,2,2.0,New Property,sector 43,flat,1548.0,0,0,0,0,0,2,0
umang monsoon breeze,0.9,4615.0,3.0,3.0,2,1.0,Moderately Old,sector 78,flat,1950.0,0,1,0,1,0,2,65
gls avenue 51,0.42,7106.0,2.0,2.0,1,4.0,Relatively New,sector 92,flat,591.0,1,0,0,1,0,0,42
signature global solera,0.5,7692.0,2.0,2.0,1,11.0,Relatively New,sector 107,flat,436.8,0,0,0,0,0,2,55
supertech araville,0.9,5883.0,2.0,2.0,3,5.0,Relatively New,sector 79,flat,1400.0,1,0,0,0,0,2,53
greenopolis,1.3,6806.0,3.0,3.0,3+,1.0,New Property,sector 89,flat,1910.0,0,1,0,0,0,2,35
central park flower valley aqua front towers,1.7,9502.0,3.0,3.0,3,12.0,Under Construction,sector 33,flat,1431.2,0,0,0,0,0,2,24
sare homes,1.25,6200.0,4.0,3.0,0,16.0,Relatively New,sector 92,flat,2016.129,0,0,0,0,0,2,49
vatika sovereign next sector-82 a gurgaon,2.91,6700.0,4.0,4.0,3,6.0,Under Construction,sector 82a,flat,3480.0,1,1,1,0,0,0,79
bhagwati sadan,1.15,5750.0,3.0,4.0,2,2.0,Old Property,sector 12,flat,1750.0,1,1,0,0,1,0,28
smart world gems,1.2,12526.0,3.0,3.0,3,3.0,New Property,sector 89,flat,958.0,0,0,1,1,0,2,131
micasa sec 68,1.5,12244.0,2.0,2.0,3,11.0,New Property,sohna road,flat,1225.0,0,0,0,0,0,2,44
eldeco accolade,1.3,7424.0,3.0,3.0,3+,10.0,Relatively New,sohna road,flat,1290.0,0,0,0,0,0,2,49
hero homes,1.75,10361.0,3.0,3.0,3,2.0,Relatively New,sector 104,flat,1351.2,0,0,0,0,0,2,30
shyam sadan,0.55,6470.0,2.0,2.0,1,4.0,Relatively New,sector 3 phase 2,flat,700.0,1,0,0,0,0,0,69
m3m heights,2.5,13600.0,3.0,3.0,3,19.0,Relatively New,sector 65,flat,1462.4,0,0,0,0,0,2,48
hanumanta apartment,0.43,5308.0,2.0,2.0,1,1.0,Moderately Old,rajiv colony,flat,648.0,0,0,0,0,0,2,7
supertech hilltown,0.8,5556.0,3.0,2.0,3,8.0,Moderately Old,sector 2,flat,1080.0,0,0,0,0,0,2,0
ashiyara 2,0.45,4500.0,3.0,3.0,2,18.0,Relatively New,garauli kalan,flat,800.0,0,0,0,0,0,2,0
raheja vedaanta,0.7,4666.0,2.0,2.0,1,10.0,Moderately Old,sector 108,flat,1150.0,0,0,0,0,0,2,0
bptp terra,1.95,14444.0,4.0,3.0,3,7.0,Relatively New,sector 37d,flat,1350.0,0,0,0,0,0,2,53
green court,0.45,7188.0,2.0,2.0,1,2.0,New Property,sector 90,flat,626.0,0,0,0,0,0,0,42
m3m golf hills phase 1,1.7,10828.0,3.0,2.0,3,10.0,Relatively New,sector 79,flat,1099.0,0,0,0,0,0,2,0
abhinav group housing society,1.1,6111.0,3.0,2.0,3,5.0,Old Property,sector 9,flat,1800.0,0,0,0,0,0,2,42
pyramid urban homes 2,0.5,9615.0,2.0,2.0,1,10.0,Relatively New,sector 86,flat,520.0,0,0,0,0,0,2,15
m3m heights,2.8,15000.0,3.0,3.0,3,20.0,Relatively New,sector 65,flat,1462.4,0,0,0,0,0,2,91
godrej nature plus,1.45,15664.0,3.0,2.0,3+,20.0,Under Construction,sector 33,flat,86.0,1,0,0,0,0,2,144
smart world orchard,2.2,13496.0,3.0,3.0,2,3.0,New Property,sector 61,flat,1630.0,0,0,0,0,0,2,16
ashiana anmol,0.9,9463.0,2.0,2.0,2,13.0,Relatively New,sohna road,flat,951.0,0,0,0,0,0,1,120
signature signum 95a,0.4,7782.0,2.0,2.0,2,3.0,New Property,sector 95,flat,514.0,0,0,0,0,0,0,44
umang winter hills,1.35,7780.0,3.0,3.0,3+,7.0,New Property,sector 77,flat,1199.0,0,0,1,0,0,0,96
aardhya homesh,1.85,8043.0,4.0,4.0,0,4.0,New Property,sector 67a,flat,2300.0,0,0,0,0,0,2,0
rof ananda,0.25,6578.0,1.0,1.0,1,4.0,New Property,sector 95,flat,304.0,0,0,0,0,0,2,0
smart world gems,0.88,7963.0,2.0,2.0,3,2.0,New Property,sector 89,flat,1105.0,1,0,0,0,0,2,44
assotech blith,1.15,6593.0,2.0,2.0,2,2.0,New Property,sector 99,flat,1092.0,0,0,0,0,1,0,72
essel tower,1.6,12185.0,3.0,3.0,3,4.0,Moderately Old,iffco chowk,flat,1050.4,0,0,0,0,0,2,46
raheja vanya,0.85,6789.0,2.0,2.0,2,3.0,New Property,sector 99a,flat,1001.6,0,0,0,0,0,2,43
vatika inxt floors,0.75,7500.0,2.0,2.0,2,1.0,Relatively New,sector 82a,flat,650.0,0,0,0,0,0,2,0
palam vihar society,3.35,7444.0,4.0,4.0,3+,2.0,New Property,sector 2,flat,4500.0,1,0,0,0,0,2,66
godrej oasis,1.5,8108.0,3.0,3.0,3+,11.0,New Property,sector 88a,flat,1480.0,0,0,0,0,0,2,39
dlf new town heights,1.65,6345.0,4.0,4.0,3+,11.0,Moderately Old,sector 91,flat,1891.2,0,1,0,0,0,2,72
dlf new town heights,2.0,6967.0,4.0,4.0,3+,16.0,Moderately Old,sector 91,flat,2181.6,1,1,0,1,0,2,65
sonata group housing society sector 1 manesar,1.75,6250.0,4.0,4.0,3,8.0,New Property,near sector 1 market,flat,2800.0,0,1,0,0,0,2,29
supertech hues,0.9,7627.0,2.0,2.0,2,1.0,New Property,sector 68,flat,1180.0,0,0,0,0,0,2,44
krrish florence estate,1.25,6703.0,3.0,3.0,3,18.0,Under Construction,sector 70,flat,1492.0,0,0,0,0,0,2,51
piedmont taksila heights,1.0,6506.0,3.0,3.0,3+,8.0,Relatively New,sector 37c,flat,1537.0,0,0,0,0,0,0,49
ss the leaf,2.15,8928.0,3.0,5.0,3,2.0,New Property,sector 85,flat,1926.4,0,0,0,0,0,2,53
m3m urbana,1.0,12106.0,1.0,1.0,1,17.0,Relatively New,sector 67,flat,826.037,0,0,0,0,0,2,49
aipl zen residences,1.65,13074.0,2.0,2.0,3,23.0,New Property,sector 70a,flat,1009.6,0,0,0,0,0,2,81
dlf regal gardens,1.79,8081.0,4.0,3.0,3+,10.0,Moderately Old,sector 90,flat,2215.0,0,0,0,0,0,2,63
godrej air,1.8,13136.0,3.0,3.0,3,30.0,Under Construction,sector 85,flat,127.3,0,0,0,0,0,2,45
suncity vatsal valley,1.45,10139.0,3.0,3.0,3,4.0,Under Construction,sector 2,flat,760.0,0,0,0,0,0,2,49
shree shyam residency,0.22,4731.0,1.0,1.0,1,2.0,Relatively New,sector 21b,flat,465.0,0,0,0,0,0,2,0
project krishna colony,0.36,5142.0,2.0,2.0,1,0.0,Relatively New,sector 7,flat,700.117,0,0,0,0,0,2,0
mvn athens,0.25,4258.0,2.0,2.0,1,0.0,Relatively New,sohna road,flat,587.13,0,0,0,0,0,2,38
m3m antalya hills,1.15,7496.0,3.0,3.0,3+,1.0,Relatively New,sector 79,flat,1103.0,1,0,0,0,0,2,51
central park flower valley,1.65,17441.0,3.0,3.0,0,1.0,Relatively New,sohna road,flat,946.0,0,0,0,0,0,2,66
m3m capital,2.9,12619.0,4.0,4.0,3+,11.0,New Property,sector 113,flat,2298.0,1,1,0,0,0,2,49
ansal heights,0.6,4546.0,2.0,2.0,3,11.0,Under Construction,sector 92,flat,1056.0,0,0,0,0,1,2,23
malibu towne,2.4,10000.0,3.0,3.0,0,0.0,Moderately Old,sector 47,flat,2400.0,0,0,0,0,0,0,22
aipl zen residences,1.25,9904.0,2.0,2.0,3,19.0,Relatively New,sector 70a,flat,1262.0,0,0,0,0,0,2,0
m3m heights,2.15,15003.0,2.0,2.0,3+,28.0,Relatively New,sector 65,flat,1433.047,0,0,0,0,0,2,48
hcbs sports ville,0.29,3970.0,2.0,2.0,1,4.0,Relatively New,sohna road,flat,519.0,0,0,0,0,0,2,0
hcbs sports ville,0.38,5067.0,2.0,2.0,2,9.0,Relatively New,sohna road,flat,650.0,0,0,0,0,0,2,0
jmd empire,1.5,12500.0,2.0,2.0,3,7.0,Relatively New,golf course road,flat,1100.0,0,0,0,0,0,2,0
housing apna enclave,0.39,4105.0,2.0,2.0,1,1.0,Relatively New,sector 4,flat,750.0,0,0,0,0,0,2,0
assotech blith,1.6,6667.0,3.0,4.0,0,15.0,New Property,sector 99,flat,2399.88,0,0,0,0,0,2,51
pareena mi casa,1.7,8504.0,4.0,4.0,3,2.0,New Property,sector 68,flat,1599.2,0,0,0,0,0,2,47
suncity heights,3.25,14118.0,3.0,3.0,3+,0.0,Old Property,sector 54,flat,2302.0,0,0,0,1,0,0,120
lotus homz,0.6,8450.0,2.0,2.0,3,9.0,New Property,sector 111,flat,710.0,0,0,0,0,0,2,52
ramson kshitij sec-95 gurugram,0.27,2700.0,2.0,2.0,0,1.0,New Property,sector 95,flat,550.0,0,0,0,0,0,2,0
maruti vihar colony,0.95,8886.0,2.0,1.0,1,1.0,Old Property,sector 28,flat,1069.0,0,0,0,0,0,2,59
m3m heights,2.65,18492.0,2.0,2.0,3,4.0,New Property,sector 65,flat,1146.4,1,0,0,0,0,2,38
supertech basera,0.36,7643.0,2.0,2.0,1,4.0,New Property,sector 79,flat,471.0,0,0,0,0,0,2,60
signature global the millennia,0.55,9166.0,2.0,2.0,3,3.0,New Property,sector 37d,flat,480.0,0,0,0,0,0,2,53
m3m soulitude,1.32,16923.0,3.0,3.0,3,1.0,New Property,sector 89,flat,780.0,0,0,0,0,0,2,45
raheja vanya,0.59,3975.0,2.0,2.0,3,1.0,New Property,sector 99a,flat,1001.7315896,0,0,0,0,1,2,96
"ganpati apartment  2, laxman vihar phase 1",0.45,4705.0,2.0,2.0,1,0.0,Relatively New,sector 4,flat,850.0,0,0,0,0,0,2,46
ramprastha the atrium,0.9,6225.0,3.0,3.0,2,13.0,Relatively New,sector 37d,flat,975.0,0,0,0,0,0,1,37
m3m golfestate,1.4,10000.0,2.0,2.0,2,4.0,Relatively New,sector 79,flat,1400.0,1,1,1,0,0,1,83
eldeco accolade,0.95,6542.0,2.0,2.0,3+,6.0,New Property,sohna road,flat,849.0,1,0,0,0,0,0,56
m3m heights,3.0,18000.0,3.0,3.0,3,20.0,Under Construction,sector 65,flat,1462.4,0,0,0,0,0,2,60
m3m heights,3.67,17990.0,3.0,3.0,2,27.0,Relatively New,sector 65,flat,1632.0,0,1,0,0,0,2,43
vatika sovereign next,3.85,7500.0,5.0,6.0,3+,6.0,New Property,sector 82a,flat,5140.0,0,1,0,1,0,2,148
m3m heights,3.29,17997.0,3.0,3.0,3,33.0,New Property,sector 65,flat,1462.4,0,0,0,0,0,2,49
m3m heights,2.33,18477.0,2.0,2.0,3,35.0,Under Construction,sector 65,flat,1008.8000000000001,0,0,0,0,0,0,49
m3m heights,2.79,14168.0,3.0,3.0,3,26.0,New Property,sector 65,flat,1462.4,0,0,0,0,0,2,15
south city 1 floors,3.4,11724.0,4.0,4.0,3,0.0,Old Property,sector 41,flat,2900.034,0,0,0,0,0,2,0
